model,d,m,precision,tp,fp
BLOW_HUAL_HUAN,3,5,0.0,0,64
BLOW_HUAL_HUAN,3,6,0.0,0,35
BLOW_HUAL_HUAN,3,7,0.0,0,18
BLOW_HUAL_HUAN,3,8,0.0,0,22
BLOW_HUAL_HUAN,3,9,0.0,0,22
BLOW_HUAL_HUAN,4,4,0.0,0,68
BLOW_HUAL_HUAN,4,5,0.0,0,37
BLOW_HUAL_HUAN,4,6,0.0,0,52
BLOW_HUAL_HUAN,4,7,0.0,0,14
BLOW_HUAL_HUAN,4,8,0.0,0,40
BLOW_HUAL_HUAN,4,9,0.0,0,12
BLOW_HUAL_HUAP,0,4,0.0,0,20
BLOW_HUAL_HUAP,0,5,0.0,0,35
BLOW_HUAL_HUAP,0,6,0.0,0,22
BLOW_HUAL_HUAP,0,7,0.0,0,34
BLOW_HUAL_HUAP,0,8,0.0,0,42
BLOW_HUAL_HUAP,0,9,0.0,0,41
BLOW_HUAL_HUAP,1,4,0.0,0,92
BLOW_HUAL_HUAP,1,5,0.0,0,24
BLOW_HUAL_HUAP,1,6,0.0,0,22
BLOW_HUAL_HUAP,1,7,0.0,0,23
BLOW_HUAL_HUAP,1,8,0.0,0,31
BLOW_HUAL_HUAP,1,9,0.0,0,61
BLOW_HUAL_HUAP,2,4,0.025,1,39
BLOW_HUAL_HUAP,2,5,0.0,0,20
BLOW_HUAL_HUAP,2,6,0.0,0,73
BLOW_HUAL_HUAP,2,7,0.0,0,22
BLOW_HUAL_HUAP,2,8,0.0,0,42
BLOW_HUAL_HUAP,2,9,0.0,0,28
BLOW_HUAL_HUAP,3,4,0.0,0,24
BLOW_HUAL_HUAP,3,5,0.0,0,80
BLOW_HUAL_HUAP,3,6,0.0,0,42
BLOW_HUAL_HUAP,3,7,0.0,0,23
BLOW_HUAL_HUAP,3,8,0.0,0,24
BLOW_HUAL_HUAP,3,9,0.0,0,28
BLOW_HUAL_HUAP,4,4,0.0,0,70
BLOW_HUAL_HUAP,4,5,0.0,0,34
BLOW_HUAL_HUAP,4,6,0.0,0,75
BLOW_HUAL_HUAP,4,7,0.0,0,16
BLOW_HUAL_HUAP,4,8,0.0,0,68
BLOW_HUAL_HUAP,4,9,0.0,0,13
BLOW_HUAL_JYAN,0,4,0.0,0,19
BLOW_HUAL_JYAN,0,5,0.0,0,48
BLOW_HUAL_JYAN,0,6,0.0,0,26
BLOW_HUAL_JYAN,0,7,0.0,0,29
BLOW_HUAL_JYAN,0,8,0.0,0,31
BLOW_HUAL_JYAN,0,9,0.0,0,40
BLOW_HUAL_JYAN,1,4,0.013888888888888888,1,71
BLOW_HUAL_JYAN,1,5,0.0,0,14
BLOW_HUAL_JYAN,1,6,0.0,0,16
BLOW_HUAL_JYAN,1,7,0.0,0,24
BLOW_HUAL_JYAN,1,8,0.0,0,24
BLOW_HUAL_JYAN,1,9,0.0,0,46
BLOW_HUAL_JYAN,2,4,0.05405405405405406,2,35
BLOW_HUAL_JYAN,2,5,0.0,0,15
BLOW_HUAL_JYAN,2,6,0.0,0,58
BLOW_HUAL_JYAN,2,7,0.0,0,14
BLOW_HUAL_JYAN,2,8,0.0,0,28
BLOW_HUAL_JYAN,2,9,0.0,0,21
BLOW_HUAL_JYAN,3,4,0.0,0,44
BLOW_HUAL_JYAN,3,5,0.0,0,71
BLOW_HUAL_JYAN,3,6,0.0,0,31
BLOW_HUAL_JYAN,3,7,0.0,0,16
BLOW_HUAL_JYAN,3,8,0.0,0,20
BLOW_HUAL_JYAN,3,9,0.0,0,29
